id,name,product_type,description,monthly_sales
1867,Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 865.,446
1868,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 866.,116
1869,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 867.,300
1870,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 868.,304
1871,Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 869.,40
1872,Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 870.,462
1873,Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 871.,347
1874,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 872.,14
1875,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 873.,55
1876,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 874.,395
1877,ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 875.,165
1878,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 876.,315
1879,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 877.,75
1880,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 878.,169
1881,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 879.,121
1882,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 880.,246
1883,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 881.,329
1884,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 882.,92
1885,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 883.,99
1886,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 884.,81
1887,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 885.,395
1888,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 886.,104
1889,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 887.,466
1890,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 888.,466
1891,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 889.,490
1892,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 890.,337
1893,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 891.,331
1894,Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 892.,388
1895,Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 893.,429
1896,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 894.,452
1897,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 895.,464
1898,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 896.,177
1899,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 897.,356
1900,Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 898.,371
1901,USB Flash Drive 64GB Compact,Electronics,USB 3.0 flash drive with 64GB capacity. Compact model – batch 899.,426
1902,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 900.,155
1903,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 901.,126
1904,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 902.,119
1905,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 903.,381
1906,Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 904.,59
1907,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 905.,282
1908,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 906.,306
1909,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 907.,330
1910,University Notebook USB-C,Stationery,Notebook with 200 pages. USB-C model – batch 908.,151
1911,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 909.,138
1912,Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 910.,420
1913,ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 911.,350
1914,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 912.,267
1915,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 913.,42
1916,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 914.,297
1917,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 915.,416
1918,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 916.,21
1919,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 917.,426
1920,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 918.,199
1921,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 919.,138
1922,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 920.,432
1923,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 921.,445
1924,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 922.,235
1925,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 923.,449
1926,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 924.,324
1927,Django Book Premium,Book,Web development with Django. Premium model – batch 925.,247
1928,HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 926.,226
1929,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 927.,187
1930,24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 928.,298
1931,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 929.,224
1932,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 930.,157
1933,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 931.,387
1934,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 932.,394
1935,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 933.,59
1936,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 934.,343
1937,Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 935.,492
1938,Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 936.,113
1939,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 937.,302
1940,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 938.,316
1941,University Notebook Premium,Stationery,Notebook with 200 pages. Premium model – batch 939.,334
1942,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 940.,69
1943,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 941.,173
1944,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 942.,328
1945,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 943.,156
1946,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 944.,9
1947,Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 945.,220
1948,University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 946.,224
1949,Django Book Pro,Book,Web development with Django. Pro model – batch 947.,272
1950,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 948.,327
1951,Django Book Standard,Book,Web development with Django. Standard model – batch 949.,26
1952,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 950.,19
1953,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 951.,186
1954,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 952.,281
1955,Django Book Pro,Book,Web development with Django. Pro model – batch 953.,107
1956,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 954.,500
1957,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 955.,71
1958,Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 956.,25
1959,USB Flash Drive 64GB Compact,Electronics,USB 3.0 flash drive with 64GB capacity. Compact model – batch 957.,79
1960,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 958.,144
1961,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 959.,153
1962,Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 960.,310
1963,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 961.,125
1964,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 962.,442
1965,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 963.,316
1966,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 964.,407
1967,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 965.,470
1968,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 966.,101
1969,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 967.,118
1970,USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 968.,89
1971,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 969.,451
1972,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 970.,188
1973,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 971.,366
1974,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 972.,37
1975,Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 973.,138
1976,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 974.,192
1977,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 975.,182
1978,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 976.,160
1979,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 977.,27
1980,USB Flash Drive 64GB Standard,Electronics,USB 3.0 flash drive with 64GB capacity. Standard model – batch 978.,281
1981,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 979.,22
1982,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 980.,282
1983,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 981.,61
1984,Full HD Webcam Compact,Electronics,1080p webcam for video conferencing. Compact model – batch 982.,362
1985,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 983.,294
1986,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 984.,275
1987,Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 985.,439
1988,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 986.,343
1989,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 987.,225
1990,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 988.,215
1991,Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 989.,47
1992,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 990.,270
1993,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 991.,401
1994,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 992.,388
1995,Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 993.,187
1996,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 994.,113
1997,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 995.,471
1998,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 996.,403
1999,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 997.,424
2000,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 998.,308
2001,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 999.,384
2002,24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 1000.,348
2003,Docker Product Add Test,Docker,Dockerizing,110
2004,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 1.,310
2005,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 2.,144
2006,Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 3.,496
2007,Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 4.,324
2008,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 5.,295
2009,Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 6.,312
2010,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 7.,452
2011,Django Book Wireless,Book,Web development with Django. Wireless model – batch 8.,60
2012,Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 9.,111
2013,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 10.,161
2014,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 11.,288
2015,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 12.,343
2016,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 13.,340
2017,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 14.,261
2018,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 15.,152
2019,USB Flash Drive 64GB Pro,Electronics,USB 3.0 flash drive with 64GB capacity. Pro model – batch 16.,139
2020,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 17.,438
2021,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 18.,24
2022,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 19.,61
2023,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 20.,237
2024,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 21.,191
2025,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 22.,227
2026,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 23.,302
2027,Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 24.,220
2028,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 25.,135
2029,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 26.,215
2030,ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 27.,453
2031,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 28.,389
2032,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 29.,483
2033,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 30.,492
2034,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 31.,106
2035,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 32.,172
2036,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 33.,72
2037,University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 34.,159
2038,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 35.,122
2039,Django Book Premium,Book,Web development with Django. Premium model – batch 36.,194
2040,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 37.,425
2041,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 38.,124
2042,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 39.,148
2043,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 40.,28
2044,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 41.,21
2045,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 42.,454
2046,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 43.,96
2047,24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 44.,427
2048,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 45.,131
2049,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 46.,285
2050,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 47.,374
2051,Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 48.,375
2052,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 49.,9
2053,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 50.,285
2054,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 51.,181
2055,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 52.,282
2056,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 53.,253
2057,Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 54.,364
2058,Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 55.,188
2059,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 56.,75
2060,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 57.,23
2061,24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 58.,43
2062,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 59.,410
2063,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 60.,448
2064,Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 61.,369
2065,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 62.,416
2066,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 63.,288
2067,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 64.,80
2068,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 65.,204
2069,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 66.,418
2070,Django Book Plus,Book,Web development with Django. Plus model – batch 67.,254
2071,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 68.,371
2072,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 69.,220
2073,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 70.,107
2074,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 71.,391
2075,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 72.,285
2076,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 73.,231
2077,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 74.,397
2078,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 75.,217
2079,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 76.,417
2080,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 77.,492
2081,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 78.,247
2082,Django Book Wireless,Book,Web development with Django. Wireless model – batch 79.,58
2083,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 80.,354
2084,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 81.,406
2085,Django Book Wireless,Book,Web development with Django. Wireless model – batch 82.,5
2086,Django Book Advanced,Book,Web development with Django. Advanced model – batch 83.,440
2087,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 84.,264
2088,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 85.,77
2089,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 86.,480
2090,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 87.,246
2091,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 88.,477
2092,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 89.,222
2093,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 90.,15
2094,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 91.,362
2095,Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 92.,380
2096,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 93.,122
2097,Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 94.,480
2098,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 95.,452
2099,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 96.,264
2100,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 97.,456
2101,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 98.,426
2102,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 99.,229
2103,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 100.,377
2104,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 101.,144
2105,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 102.,372
2106,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 103.,384
2107,Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 104.,380
2108,Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 105.,267
2109,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 106.,142
2110,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 107.,178
2111,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 108.,339
2112,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 109.,344
2113,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 110.,82
2114,Django Book Advanced,Book,Web development with Django. Advanced model – batch 111.,217
2115,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 112.,20
2116,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 113.,112
2117,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 114.,69
2118,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 115.,229
2119,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 116.,213
2120,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 117.,231
2121,Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 118.,489
2122,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 119.,331
2123,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 120.,253
2124,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 121.,87
2125,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 122.,370
2126,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 123.,370
2127,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 124.,336
2128,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 125.,403
2129,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 126.,133
2130,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 127.,175
2131,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 128.,487
2132,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 129.,258
2133,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 130.,350
2134,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 131.,467
2135,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 132.,371
2136,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 133.,80
2137,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 134.,253
2138,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 135.,390
2139,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 136.,330
2140,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 137.,329
2141,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 138.,226
2142,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 139.,465
2143,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 140.,169
2144,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 141.,71
2145,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 142.,28
2146,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 143.,60
2147,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 144.,68
2148,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 145.,466
2149,Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 146.,364
2150,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 147.,118
2151,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 148.,243
2152,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 149.,45
2153,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 150.,224
2154,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 151.,258
2155,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 152.,347
2156,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 153.,201
2157,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 154.,163
2158,Django Book Wireless,Book,Web development with Django. Wireless model – batch 155.,123
2159,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 156.,65
2160,Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 157.,264
2161,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 158.,430
2162,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 159.,155
2163,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 160.,257
2164,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 161.,153
2165,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 162.,306
2166,Laptop Stand USB-C,Accessories,Adjustable ergonomic laptop stand. USB-C model – batch 163.,118
