name,product_type,description,monthly_sales
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 323.,257
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 324.,434
Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 325.,448
Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 326.,428
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 327.,416
ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 328.,407
Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 329.,169
Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 330.,490
Django Book Wireless,Book,Web development with Django. Wireless model – batch 331.,209
Django Book Standard,Book,Web development with Django. Standard model – batch 332.,250
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 333.,360
Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 334.,279
Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 335.,34
External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 336.,404
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 337.,128
24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 338.,478
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 339.,345
ATX Power Supply 600W Pro,Electronics,600W certified power supply. Pro model – batch 340.,308
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 341.,214
Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 342.,336
Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 343.,472
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 344.,302
HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 345.,373
Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 346.,472
USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 347.,272
Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 348.,474
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 349.,123
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 350.,204
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 351.,229
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 352.,335
Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 353.,63
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 354.,282
External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 355.,411
HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 356.,36
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 357.,356
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 358.,472
External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 359.,449
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 360.,246
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 361.,259
Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 362.,327
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 363.,382
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 364.,419
24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 365.,100
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 366.,193
Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 367.,68
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 368.,219
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 369.,11
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 370.,36
USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 371.,316
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 372.,301
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 373.,110
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 374.,143
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 375.,94
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 376.,134
External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 377.,197
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 378.,143
Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 379.,299
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 380.,311
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 381.,299
24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 382.,428
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 383.,363
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 384.,24
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 385.,382
ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 386.,131
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 387.,400
Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 388.,168
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 389.,193
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 390.,462
USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 391.,180
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 392.,99
Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 393.,444
Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 394.,195
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 395.,476
External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 396.,414
Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 397.,363
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 398.,148
Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 399.,181
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 400.,210
HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 401.,390
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 402.,14
Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 403.,8
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 404.,475
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 405.,182
24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 406.,363
Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 407.,412
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 408.,345
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 409.,210
Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 410.,314
24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 411.,21
Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 412.,190
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 413.,478
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 414.,5
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 415.,94
Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 416.,346
24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 417.,353
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 418.,15
Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 419.,434
Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 420.,250
HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 421.,150
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 422.,171
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 423.,193
Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 424.,64
Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 425.,268
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 426.,54
Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 427.,414
University Notebook Standard,Stationery,Notebook with 200 pages. Standard model – batch 428.,45
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 429.,474
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 430.,399
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 431.,265
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 432.,296
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 433.,130
USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 434.,482
Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 435.,204
USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 436.,152
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 437.,337
Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 438.,483
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 439.,341
USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 440.,215
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 441.,433
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 442.,177
ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 443.,104
HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 444.,494
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 445.,191
External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 446.,102
Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 447.,469
Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 448.,261
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 449.,431
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 450.,146
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 451.,47
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 452.,420
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 453.,348
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 454.,121
Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 455.,308
Django Book Pro,Book,Web development with Django. Pro model – batch 456.,443
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 457.,27
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 458.,258
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 459.,229
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 460.,43
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 461.,172
Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 462.,218
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 463.,353
Django Book Advanced,Book,Web development with Django. Advanced model – batch 464.,175
24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 465.,470
24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 466.,115
USB Mouse Compact,Electronics,Wired USB mouse with high precision. Compact model – batch 467.,149
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 468.,478
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 469.,415
Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 470.,36
Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 471.,168
Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 472.,340
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 473.,184
University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 474.,99
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 475.,351
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 476.,53
USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 477.,5
Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 478.,132
Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 479.,373
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 480.,406
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 481.,326
Django Book Wireless,Book,Web development with Django. Wireless model – batch 482.,434
Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 483.,184
USB Flash Drive 64GB Pro,Electronics,USB 3.0 flash drive with 64GB capacity. Pro model – batch 484.,309
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 485.,482
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 486.,38
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 487.,171
Django Book USB-C,Book,Web development with Django. USB-C model – batch 488.,187
External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 489.,33
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 490.,487
24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 491.,236
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 492.,81
Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 493.,287
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 494.,315
Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 495.,116
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 496.,102
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 497.,160
External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 498.,189
Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 499.,344
External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 500.,261
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 501.,86
Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 502.,476
USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 503.,243
Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 504.,417
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 505.,205
Django Book Pro,Book,Web development with Django. Pro model – batch 506.,408
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 507.,282
External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 508.,192
USB Flash Drive 64GB Standard,Electronics,USB 3.0 flash drive with 64GB capacity. Standard model – batch 509.,141
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 510.,79
University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 511.,367
USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 512.,456
USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 513.,354
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 514.,149
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 515.,23
Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 516.,243
Django Book Plus,Book,Web development with Django. Plus model – batch 517.,7
University Notebook Premium,Stationery,Notebook with 200 pages. Premium model – batch 518.,135
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 519.,421
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 520.,393
ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 521.,61
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 522.,389
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 523.,286
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 524.,245
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 525.,330
Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 526.,369
External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 527.,280
Django Book Premium,Book,Web development with Django. Premium model – batch 528.,312
Laptop Backpack Pro,Accessories,Durable backpack for up to 15-inch laptops. Pro model – batch 529.,281
Django Book Premium,Book,Web development with Django. Premium model – batch 530.,172
Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 531.,425
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 532.,294
Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 533.,457
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 534.,324
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 535.,117
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 536.,230
Full HD Webcam Standard,Electronics,1080p webcam for video conferencing. Standard model – batch 537.,220
USB Flash Drive 64GB Compact,Electronics,USB 3.0 flash drive with 64GB capacity. Compact model – batch 538.,431
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 539.,323
Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 540.,263
Django Book Plus,Book,Web development with Django. Plus model – batch 541.,331
Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 542.,61
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 543.,393
USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 544.,372
Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 545.,132
Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 546.,474
Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 547.,358
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 548.,186
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 549.,415
Bluetooth Headphones Standard,Electronics,Wireless headphones with noise cancellation. Standard model – batch 550.,218
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 551.,136
Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 552.,188
Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 553.,499
Django Book Plus,Book,Web development with Django. Plus model – batch 554.,78
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 555.,165
Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 556.,349
Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 557.,321
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 558.,26
Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 559.,489
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 560.,131
Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 561.,219
Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 562.,244
Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 563.,47
Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 564.,127
Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 565.,299
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 566.,382
Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 567.,395
24 Inch Monitor Wireless,Electronics,Full HD monitor for work and gaming. Wireless model – batch 568.,494
University Notebook Premium,Stationery,Notebook with 200 pages. Premium model – batch 569.,146
Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 570.,490
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 571.,121
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 572.,159
HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 573.,276
Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 574.,421
Bluetooth Headphones Standard,Electronics,Wireless headphones with noise cancellation. Standard model – batch 575.,406
Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 576.,439
Django Book Pro,Book,Web development with Django. Pro model – batch 577.,199
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 578.,198
Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 579.,455
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 580.,99
Algorithms Book Plus,Book,Introduction to algorithms and programming logic. Plus model – batch 581.,120
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 582.,360
Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 583.,493
Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 584.,152
Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 585.,430
Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 586.,289
USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 587.,243
Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 588.,360
USB Flash Drive 64GB Compact,Electronics,USB 3.0 flash drive with 64GB capacity. Compact model – batch 589.,497
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 590.,373
24 Inch Monitor Wireless,Electronics,Full HD monitor for work and gaming. Wireless model – batch 591.,95
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 592.,186
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 593.,20
Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 594.,110
ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 595.,61
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 596.,174
Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 597.,208
Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 598.,262
Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 599.,367
ATX Power Supply 600W USB-C,Electronics,600W certified power supply. USB-C model – batch 600.,82
USB Flash Drive 64GB Standard,Electronics,USB 3.0 flash drive with 64GB capacity. Standard model – batch 601.,135
Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 602.,294
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 603.,359
Django Book Pro,Book,Web development with Django. Pro model – batch 604.,419
Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 605.,396
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 606.,6
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 607.,120
Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 608.,482
Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 609.,303
Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 610.,304
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 611.,31
Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 612.,121
Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 613.,341
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 614.,432
HDMI Cable Premium,Accessories,High-speed HDMI 2.0 cable. Premium model – batch 615.,452
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 616.,297
Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 617.,157
24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 618.,198
Django Book Compact,Book,Web development with Django. Compact model – batch 619.,94
Django Book USB-C,Book,Web development with Django. USB-C model – batch 620.,427
Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 621.,41
Full HD Webcam Compact,Electronics,1080p webcam for video conferencing. Compact model – batch 622.,96
24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 623.,444
Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 624.,230
University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 625.,14
Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 626.,303
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 627.,465
Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 628.,164
HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 629.,395
Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 630.,381
HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 631.,204
USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 632.,199
Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 633.,347
Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 634.,61
USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 635.,175
External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 636.,490
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 637.,447
USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 638.,195
Django Book Pro,Book,Web development with Django. Pro model – batch 639.,191
ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 640.,298
